     0.000 D | Testing "/home/dennis/.local/share/PrismLauncher/qtlogging.ini" ...
     0.127 D | <> Importing from zip: (QUrl("file:///home/dennis/Calibre Library/Eiichiro Oda/Chapter 1053 (4)/Chapter 1053 - Eiichiro Oda.cbz"))
     0.127 D | Processing QUrl("file:///home/dennis/Calibre Library/Eiichiro Oda/Chapter 1053 (4)/Chapter 1053 - Eiichiro Oda.cbz")
     0.127 W | Invalid type for mod parse task!
     0.127 W | Invalid type for resource pack parse task!
     0.127 W | Invalid type for resource pack parse task!
     0.127 W | Invalid type for data pack parse task!
     0.127 W | Invalid type for world save parse task!
     0.127 W | Invalid type for shader pack parse task!
     0.127 D | Can't Identify "Chapter 1053 - Eiichiro Oda.cbz"
     0.163 W | [launcher.task.net]: [HttpMetaCache] Removing cache entry because of old age!
     0.176 D | [qt5ct]: palette support is disabled
     0.219 D | Dir changed: "/home/dennis/dotfiles/minecraft/.local/share/PrismLauncher/translations"
     0.714 D | Got translations index!
     0.715 D | Dir changed: "/home/dennis/dotfiles/minecraft/.local/share/PrismLauncher/translations"
     0.740 D | Finished loading RSS feed.
     0.745 D | Loaded news entry "[MALWARE WARNING] RCE Vulnerability on some modded servers - Bleeding Pipe"
     0.745 D | Loaded news entry "Prism Launcher Release 7.2, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 7.1, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 7.0, now available"
     0.745 D | Loaded news entry "FTB Modpack Downloading Removal."
     0.745 D | Loaded news entry "[MALWARE WARNING] \"fractureiser\" malware in many popular Minecraft mods and modpacks"
     0.745 D | Loaded news entry "[SECURITY UPDATE] Prism Launcher Release 6.3, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 6.2, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 6.1, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 6.0, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 5.2, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 5.1, now available"
     0.745 D | Loaded news entry "Prism Launcher Release 5.0, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.4.2, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.4.1, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.4.0, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.3.2, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.3.1, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.3.0, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.2.2, now available (CurseForge Hotfix)"
     0.745 D | Loaded news entry "PolyMC Update 1.2.1, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.2.0, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.1.1, now available"
     0.745 D | Loaded news entry "PolyMC Update 1.1.0, now available"
     0.745 D | Loaded news entry "Moving on"
     0.745 D | Loaded news entry "Modrinth support and Mod downloading"
     0.745 D | Loaded news entry "New maintainers and step down."
     0.745 D | News loading succeeded.
     1.245 D | [katabasis.credentials]: new refresh token: "M.C107_BAY.-CaOsztuspoCm8kOHKDTV4Jr02GihamqJFDsuu0Ek7!2yolC4Q!2S9Y24garRB4nj4iIY6tKdr9UrmAc1TLpHmwWPlc0a!C293gSoEQZkbrQBX83zGJEJ6mSfmAABQiu08bz7YelMXUlC3*6afphQQtovfCGoL1QYUif8y11xn7FAIVtuwhNC*w5iO1X4HqVZlCvj0pvwkZo*1F4bY4h5t30m2cq7hJob!aJqH!l502hVuUro*UEFBX7gm8hvG2Qz3qNLrRQXklE7lekFH82caRZRQG3EwDVQ!JkJ3Y4YmmWIQjAfpY3M4yrZy6j2lgOZ1A$$"
     1.245 D | DeviceFlow::setLinked: true
     1.245 D | AuthFlow: "Logging in as an Xbox user."
     1.245 D | First layer of XBox auth ... commencing.
     1.245 D | New token expires in QDateTime(2023-10-25 16:38:34.382 UTC Qt::UTC) seconds
     1.558 D | Parsing "UToken" :
     1.558 D | "UToken" is valid.
     1.558 D | AuthFlow: "Getting authorization to access Xbox services."
     1.558 D | Getting authorization token for  "http://xboxlive.com"
     1.824 D | Parsing "Xbox" :
     1.824 D | "Xbox" is valid.
     1.824 D | AuthFlow: "Getting authorization to access Mojang services."
     1.824 D | Getting authorization token for  "rp://api.minecraftservices.com/"
     1.976 D | Parsing "Mojang" :
     1.976 D | "Mojang" is valid.
     1.976 D | AuthFlow: "Accessing Mojang services."
     1.976 D | Getting Minecraft access token...
     2.202 D | Component list save performed now for "Skyblock 1.8.9"
